mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
4	4	1/4	1/4	4/4	26	1	1/24		1/16	2/3		7	73	432
4	4	1/4	1/4	4/4	25	1	1/24		1/16	2/3		4	76	408
4	4	1/4	1/4	4/4	24	1	1/24		1/16	2/3		1	79	384
4	4	1/4	1/4	4/4	23	1	1/24		1/16	2/3		-2	82	360
4	4	1/4	1/4	4/4	22	1	1/24		1/16	2/3		7	85	336
4	4	1/4	1/4	4/4	21	1	1/24		1/16	2/3		4	88	312
4	4	7/24	7/24	4/4	28	1	1/24		1/16	2/3		1	67	481
4	4	7/24	7/24	4/4	27	1	1/24		1/16	2/3		-2	70	457
4	4	7/24	7/24	4/4	26	1	1/24		1/16	2/3		7	73	433
4	4	7/24	7/24	4/4	25	1	1/24		1/16	2/3		4	76	409
4	4	7/24	7/24	4/4	24	1	1/24		1/16	2/3		1	79	385
4	4	7/24	7/24	4/4	23	1	1/24		1/16	2/3		-2	82	361
4	4	7/24	7/24	4/4	22	1	1/24		1/16	2/3		7	85	337
4	4	7/24	7/24	4/4	21	1	1/24		1/16	2/3		4	88	313
4	4	1/3	1/3	4/4	28	1	1/24		1/16	2/3		6	66	482
4	4	1/3	1/3	4/4	27	1	1/24		1/16	2/3		3	69	458
4	4	1/3	1/3	4/4	26	1	1/24		1/16	2/3		0	72	434
